iter	Passed	Remaining
780	20658	32243
781	20684	32217
782	20711	32191
783	20741	32171
784	20768	32144
785	20793	32116
786	20818	32087
787	20844	32060
788	20871	32034
789	20902	32014
790	20932	31993
791	20959	31967
792	20983	31938
793	21011	31914
794	21045	31898
795	21071	31871
796	21098	31845
797	21125	31819
798	21161	31808
799	21252	31879
800	21314	31904
801	21426	32005
802	21479	32019
803	21530	32027
804	21571	32022
805	21609	32012
806	21637	31987
807	21668	31966
808	21693	31937
809	21720	31910
810	21745	31881
811	21772	31854
812	21797	31824
813	21826	31801
814	21850	31770
815	21878	31745
816	21908	31723
817	21932	31692
818	21957	31662
819	21986	31638
820	22014	31613
821	22043	31590
822	22070	31564
823	22102	31544
824	22129	31518
825	22162	31499
826	22188	31471
827	22217	31448
828	22244	31421
829	22271	31394
830	22295	31363
831	22320	31334
832	22362	31329
833	22409	31330
834	22470	31350
835	22549	31397
836	22606	31411
837	22655	31414
838	22698	31410
839	22776	31452
840	22864	31510
841	22918	31520
842	23027	31604
843	23198	31773
844	23253	31783
845	23326	31818
846	23368	31810
847	23405	31796
848	23448	31789
849	23515	31814
850	23575	31831
851	23621	31828
852	23654	31807
853	23680	31777
854	23706	31747
855	23752	31744
856	23821	31771
857	23908	31822
858	23947	31809
859	23979	31787
860	24010	31762
861	24053	31755
862	24097	31748
863	24133	31730
864	24186	31735
865	24225	31723
866	24262	31706
867	24300	31691
868	24332	31668
869	24365	31647
870	24447	31689
871	24492	31682
872	24562	31709
873	24625	31725
874	24667	31715
875	24710	31706
876	24749	31692
877	24795	31686
878	24932	31796
879	25019	31843
880	25055	31824
881	25089	31802
882	25140	31803
883	25195	31807
884	25293	31867
885	25423	31966
886	25455	31940
887	25481	31909
888	25530	31905
889	25564	31883
890	25600	31864
891	25641	31850
892	25677	31830
893	25704	31800
894	25735	31773
895	25763	31744
896	25793	31717
897	25820	31686
898	25852	31661
899	25881	31632
900	25910	31604
901	25940	31577
902	25967	31546
903	25999	31521
904	26026	31490
905	26054	31460
906	26081	31430
907	26109	31400
908	26136	31369
909	26164	31340
910	26194	31312
911	26220	31280
912	26251	31254
913	26276	31221
914	26302	31189
915	26334	31164
916	26361	31133
917	26388	31103
918	26414	31071
919	26443	31041
920	26471	31012
921	26497	30981
922	26525	30951
923	26551	30919
924	26578	30888
925	26606	30858
926	26635	30830
927	26662	30799
928	26692	30772
929	26721	30744
930	26754	30719
931	26787	30696
932	26853	30710
933	26889	30689
934	26931	30675
935	26965	30653
936	27000	30630
937	27031	30605
938	27063	30579
939	27100	30559
940	27130	30533
941	27159	30503
942	27185	30472
943	27214	30442
944	27239	30409
945	27267	30380
946	27297	30352
947	27330	30328
948	27359	30300
949	27386	30269
950	27421	30247
951	27467	30237
952	27506	30219
953	27549	30206
954	27593	30193
955	27621	30164
956	27652	30137
957	27693	30122
958	27728	30099
959	27754	30067
960	27781	30036
961	27809	30005
962	27834	29972
963	27868	29949
964	27897	29920
965	27926	29892
966	27955	29863
967	27980	29830
968	28007	29799
969	28033	29767
970	28066	29743
971	28108	29727
972	28135	29696
973	28168	29672
974	28197	29643
975	28225	29613
976	28254	29585
977	28282	29555
978	28311	29525
979	28343	29500
980	28370	29469
981	28398	29440
982	28426	29409
983	28453	29378
984	28483	29351
985	28513	29323
986	28539	29291
987	28569	29263
988	28598	29234
989	28625	29203
990	28650	29170
991	28678	29140
992	28704	29109
993	28730	29077
994	28756	29045
995	28782	29013
996	28806	28979
997	28832	28947
998	28861	28919
999	28889	28889
1000	28936	28878
1001	28980	28864
1002	29019	28845
1003	29098	28866
1004	29370	29078
1005	29521	29169
1006	29569	29158
1007	29599	29129
1008	29628	29099
1009	29659	29071
1010	29689	29043
1011	29718	29013
1012	29745	28982
1013	29774	28952
1014	29804	28923
1015	29832	28892
