iter	RMSE
1091	0.506529147
1092	0.5065248649
1093	0.5065207597
1094	0.5065172885
1095	0.5065147355
1096	0.5065114834
1097	0.5065078818
1098	0.5065058046
1099	0.5064996353
1100	0.5064918831
1101	0.5064850927
1102	0.5064791753
1103	0.5064740625
1104	0.5064692628
1105	0.5064653338
1106	0.5064626235
1107	0.5064553188
1108	0.5064516659
1109	0.5064487123
1110	0.5064463681
1111	0.5064447459
1112	0.5064371925
1113	0.5064339269
1114	0.5064290577
1115	0.5064234198
1116	0.5064190642
1117	0.5064137699
1118	0.5064105506
1119	0.5064030195
1120	0.5063996624
1121	0.5063947742
1122	0.5063886337
1123	0.5063851208
1124	0.5063810722
1125	0.5063781872
1126	0.50637113
1127	0.5063674282
1128	0.5063616215
1129	0.5063570344
1130	0.5063540366
1131	0.5063461389
1132	0.5063428569
1133	0.506338745
1134	0.5063358172
1135	0.5063316377
1136	0.5063261879
1137	0.506321552
1138	0.5063180308
1139	0.5063087729
1140	0.5063026667
1141	0.5063001984
1142	0.5062974279
1143	0.5062937592
1144	0.5062912376
1145	0.5062855003
1146	0.5062811456
1147	0.5062779382
1148	0.5062727794
1149	0.5062687872
1150	0.5062644674
1151	0.5062601115
1152	0.5062567864
1153	0.5062526677
1154	0.5062512214
1155	0.5062468945
1156	0.5062402869
1157	0.5062361751
1158	0.5062319648
1159	0.5062272528
1160	0.5062232452
1161	0.5062189968
1162	0.5062152873
1163	0.5062107941
1164	0.5062045581
1165	0.5062006146
1166	0.5061983045
1167	0.5061942054
1168	0.5061902888
1169	0.5061870913
1170	0.5061832673
1171	0.5061815493
1172	0.5061778792
1173	0.5061753251
1174	0.5061718009
1175	0.506166446
1176	0.5061630325
1177	0.5061608642
1178	0.5061560601
1179	0.5061528004
1180	0.5061484836
1181	0.5061451949
1182	0.5061411608
1183	0.5061386775
1184	0.5061345915
1185	0.5061277235
1186	0.5061243462
1187	0.5061211673
1188	0.5061172544
1189	0.5061140545
1190	0.5061112972
1191	0.5061084328
1192	0.5061029442
1193	0.5060985345
1194	0.5060930354
1195	0.5060894532
1196	0.5060811588
1197	0.5060766445
1198	0.5060713576
1199	0.5060668349
1200	0.506063533
1201	0.5060589203
